date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:00	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Jun%202025%2010:07:59%20GMT	https://test2.kwebsite.kr/robots.txt		(from )
17:08:00	119275/119275	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2010:07:59%20GMT	https://test2.kwebsite.kr/	C:/My%20Web%20Sites/hanchon/test2.kwebsite.kr/index.html	(from )
17:08:01	108054/108054	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221a616-634c12d0dfce8%22	https://test2.kwebsite.kr/theme/hanchon/img/comm/logo.ico	C:/My%20Web%20Sites/hanchon/test2.kwebsite.kr/theme/hanchon/img/comm/logo.ico	(from https://test2.kwebsite.kr/)
17:08:01	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-633981da14807%22	https://test2.kwebsite.kr/js/font-awesome/css/font-awesome.min.css?ver=2303229	C:/My%20Web%20Sites/hanchon/test2.kwebsite.kr/js/font-awesome/css/font-awesome.minaa39.css	(from https://test2.kwebsite.kr/)
17:08:01	2966/2966	---M-Z	200	added ('OK')	text/css	etag:W/%22b96-swwAQJKf1toICUovx2NESavuS+I%22	https://cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/dist/web/static/pretendard.min.css	C:/My%20Web%20Sites/hanchon/cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/dist/web/static/pretendard.min.css	(from https://test2.kwebsite.kr/)
17:08:02	3657/3657	---M-Z	200	added ('OK')	text/css	etag:W/%22e49-WC21CvbbN8H/8CyLwq/iI/Zj8K4%22	https://cdn.jsdelivr.net/gh/whitedev7773/Paperlogy/paperlogy.css	C:/My%20Web%20Sites/hanchon/cdn.jsdelivr.net/gh/whitedev7773/Paperlogy/paperlogy.css	(from https://test2.kwebsite.kr/)
17:08:03	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/hanchon/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://test2.kwebsite.kr/)
17:08:03	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://cdn.jsdelivr.net/npm/aos@2.3.4/dist/aos.css	C:/My%20Web%20Sites/hanchon/cdn.jsdelivr.net/npm/aos@2.3.4/dist/aos.css	(from https://test2.kwebsite.kr/)
17:08:03	3189/3189	---MCZ	200	added ('OK')	text/css	etag:W/%22c75-634e6a719364d%22	https://test2.kwebsite.kr/theme/hanchon/css/landing/____root.css?ver=2303229	C:/My%20Web%20Sites/hanchon/test2.kwebsite.kr/theme/hanchon/css/landing/____rootaa39.css	(from https://test2.kwebsite.kr/)
17:08:04	2661/2661	---MCZ	200	added ('OK')	text/css	etag:W/%22a65-634e687a528cc%22	https://test2.kwebsite.kr/theme/hanchon/css/landing/__reset.css?ver=2303229	C:/My%20Web%20Sites/hanchon/test2.kwebsite.kr/theme/hanchon/css/landing/__resetaa39.css	(from https://test2.kwebsite.kr/)
17:08:04	3970/3970	---MCZ	200	added ('OK')	text/css	etag:W/%22f82-63472359a1938%22	https://test2.kwebsite.kr/theme/hanchon/css/landing/__color.css?ver=2303229	C:/My%20Web%20Sites/hanchon/test2.kwebsite.kr/theme/hanchon/css/landing/__coloraa39.css	(from https://test2.kwebsite.kr/)
